"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US25","Massachusetts","3326313","20620","2636120","19583","2388532","22166","247588","9963","194112","8684","30330","3089","11283","2141","4177","1111","7686","1992","328845","7720","109438","5632","9190","2123","150278","6401","56874","3770","3065","827","4326","1071","2666","833","26549","2129","158506","6695","21810","2824","147491","6136"
"0400000US26","Michigan","4274964","19712","3896792","23119","3521696","21389","375096","10048","294266","9135","48065","3533","16979","1951","10415","2167","5371","1211","65409","4764","64105","4796","0","168","467","247","387","295","450","256","3011","702","4606","904","19812","2298","92316","4762","28503","3044","164515","6370"
"0400000US27","Minnesota","2773626","11559","2412040","12760","2174125","12204","237915","7936","189632","6860","30576","3160","9630","1775","5152","918","2925","812","99296","4191","93313","4074","886","487","1910","646","2771","773","416","253","1632","539","5855","1134","21893","2619","81150","4681","16333","2087","135427","4577"
"0400000US28","Mississippi","1181081","12874","1114666","12626","992657","13068","122009","7131","88436","5699","20797","2510","7180","1645","3366","1354","2230","967","5269","1352","5071","1346","0","208","70","112","0","208","128","165","679","421","811","401","1592","632","18071","2096","17208","2746","22785","2576"
"0400000US29","Missouri","2773780","14508","2520539","16350","2265099","15458","255440","8197","207584","7652","29256","2961","10084","1709","5320","1150","3196","878","44846","3511","40853","3424","551","389","2094","677","951","516","397","288","2391","851","5496","1116","8963","1803","55310","4006","22056","2553","114179","4710"
"0400000US30","Montana","475287","6316","405134","7040","357127","7243","48007","3348","36103","3091","6289","1281","3271","964","1433","526","911","606","3249","900","3163","885","0","165","0","165","76","88","10","16","392","299","1229","571","7215","1369","25078","2507","4512","1082","28478","2805"
"0400000US31","Nebraska","954452","6369","866627","7726","777728","7352","88899","5063","66924","4161","12866","2053","5351","1264","2694","703","1064","371","7533","1359","7508","1359","0","157","25","42","0","157","0","157","282","203","1069","370","4443","847","26175","2078","6534","994","41789","2560"
"0400000US32","Nevada","1246513","11854","1108464","12429","977046","12804","131418","5723","102960","5223","19240","2954","5264","1344","2735","943","1219","456","41958","3826","41543","3842","70","116","181","210","24","38","140","225","167","207","7095","1433","5227","1113","27757","3180","11467","1803","44378","3747"
"0400000US33","New Hampshire","677618","7884","605421","8037","550292","8640","55129","3883","44067","3046","7792","1481","1400","669","1258","652","612","393","6798","1518","5855","1430","211","209","393","274","207","212","132","147","94","114","575","311","1478","506","21028","2518","5504","1426","36720","3085"
"0400000US34","New Jersey","4166286","20887","3333462","23582","3000397","21799","333065","10473","248883","9295","45257","3810","17148","2679","10088","2085","11689","2200","463204","12033","259379","10404","3381","970","85356","5126","104863","5205","10225","1587","9875","1916","1736","553","15708","2959","120053","6218","55885","5064","166363","6258"
"0400000US35","New Mexico","865357","9853","776227","10327","685234","10327","90993","6040","67633","4849","12883","2699","5177","1465","4359","1222","941","465","9482","1397","8053","1402","76","88","46","54","1197","492","110","140","0","195","3340","923","8210","1582","19542","2269","10741","1686","37815","3287"
