"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US01","Alabama","2041619","17993","1922457","18547","1748949","19969","173508","7679","137015","7441","22909","2962","8188","1765","3113","1157","2283","854","7234","1504","6634","1377","415","426","56","94","65","102","64","108","1332","612","2333","842","2058","785","23594","3529","13739","2392","68872","5117"
"0400000US02","Alaska","351282","6043","285020","6651","243466","6186","41554","4193","28108","3354","7252","2135","4237","1999","1466","565","491","301","5827","1561","5124","1471","0","153","72","120","0","153","631","310","1883","788","433","198","2723","764","25829","2365","13583","1291","15984","2030"
"0400000US04","Arizona","3086150","17384","2701752","18612","2362162","18831","339590","10803","258886","9693","49021","4009","17835","2987","8648","2268","5200","1079","55495","5174","51522","5112","1956","688","1612","585","188","244","217","177","6674","1616","12266","1719","25270","2743","61420","4149","29358","3065","193915","7427"
"0400000US05","Arkansas","1281666","13086","1194667","12515","1068253","12584","126414","6651","95082","6037","19650","2839","6249","1613","3871","1222","1562","548","3788","1046","3553","1057","0","201","52","104","92","130","91","149","845","516","1261","522","2338","1057","23112","3075","8499","1743","47156","3936"
"0400000US06","California","18320629","48194","15378833","50709","13541563","56126","1837270","27936","1345308","20983","284597","11060","114874","7583","60291","6650","32200","3802","919579","16698","587013","15497","20266","2428","223166","6786","79833","4738","9301","1545","37403","3678","59096","4823","166029","7140","473375","12939","193427","8986","1092887","19780"
"0400000US08","Colorado","2886978","17103","2408517","16583","2161670","15648","246847","8470","187576","8468","35612","3808","13833","2395","6627","1397","3199","1031","92878","5937","69962","5512","3123","1375","11413","1756","7949","1656","431","392","2130","690","4664","991","31723","3535","77250","4817","25713","2508","244103","8996"
"0400000US09","Connecticut","1778000","14686","1531473","14710","1391813","14671","139660","7956","110642","6631","15617","2523","7696","1740","3381","1020","2324","760","83460","4978","38380","3648","87","102","3105","905","41808","3399","80","133","3125","932","1783","877","5483","1621","49471","4116","12031","2277","91174","4559"
"0400000US10","Delaware","430780","6838","384125","7390","353445","7749","30680","3402","22590","2735","5969","1827","1242","590","333","239","546","415","9598","1594","6902","1436","240","213","179","197","2223","803","54","97","64","108","422","268","1566","655","9566","1521","3212","1249","22227","2459"
"0400000US11","District of Columbia","375380","6102","148546","5267","129051","5201","19495","2415","13411","2094","3626","1052","1064","775","764","531","630","534","122643","5311","47097","3541","300","312","74240","4453","1006","488","0","208","5379","1285","362","243","18624","2587","47625","3750","4534","1719","27667","2948"
"0400000US12","Florida","9355081","35950","8274363","38485","7423934","39897","850429","21057","653683","18435","122642","8008","41095","4970","20394","2851","12615","2262","162401","8778","140744","8430","1711","935","11637","2667","6907","1710","1402","909","25673","3963","20062","2966","53751","4538","132386","8683","111939","8143","574506","15223"
"0400000US13","Georgia","4782581","26117","4238236","27104","3765494","28187","472742","13703","346007","11018","74330","6535","26062","3775","16185","2525","10158","2392","102295","7160","72638","6013","1720","1070","23555","3114","3966","1345","416","529","16975","2744","6695","1530","11554","2581","74886","5380","55478","5421","276462","9732"
"0400000US15","Hawaii","703939","7810","568962","8024","475638","8015","93324","5482","65899","4704","16845","2402","6945","2174","3300","1077","335","242","43263","3269","43257","3268","0","187","6","11","0","187","0","187","484","271","4048","1098","6579","1326","38388","3392","11571","2446","30644","2673"
