"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US01","Alabama","2011723","14261","1900724","15679","1719972","17414","180752","8814","139697","8298","25183","3381","9855","1707","3814","1111","2203","757","6066","1497","5703","1422","46","73","173","297","81","128","63","102","548","404","1785","554","1753","601","22130","2955","14960","2190","63757","4204"
"0400000US02","Alaska","363075","5057","292315","5620","246577","5808","45738","3719","36744","3418","5506","1245","1910","626","1121","653","457","232","5608","1198","5050","1202","191","292","43","61","7","11","317","244","1119","356","477","322","4051","1151","28801","2457","14609","1755","16095","2050"
"0400000US04","Arizona","2899727","18330","2542375","20219","2234511","19297","307864","9774","234459","8864","43735","3708","14068","2478","10713","2414","4889","1111","59686","5009","54142","4884","3311","1200","1238","607","853","610","142","180","2841","1346","13779","1744","29767","3294","60638","4002","30960","2761","159681","5505"
"0400000US05","Arkansas","1253288","11443","1170475","12112","1035546","12520","134929","6559","101040","5459","20192","2470","7640","1725","3361","1007","2696","945","5791","1358","5405","1298","55","90","171","198","160","234","0","190","540","374","2763","1072","1678","700","22033","2396","11638","1848","38370","2875"
"0400000US06","California","17633846","45164","14801601","47945","13031320","44004","1770281","22978","1311899","18123","261232","8717","108448","6213","52218","4535","36484","3280","923600","17713","613125","15318","23864","2675","196589","7741","80654","4712","9368","1544","13744","1799","62174","3800","192289","7359","474323","12112","196076","7538","970039","14583"
"0400000US08","Colorado","2740368","17973","2326195","18730","2095695","15550","230500","9673","176306","7927","31894","3682","14120","2232","5727","1487","2453","667","80917","5089","66811","4725","2583","951","7868","1385","3422","990","233","237","945","461","5757","1140","33714","2375","77861","4349","20075","2267","194904","7005"
"0400000US09","Connecticut","1773121","10609","1529902","14191","1391000","13837","138902","8841","113545","8096","14304","2363","6050","2097","1912","609","3091","892","87516","4837","44995","4298","739","597","1789","703","39912","2713","81","133","2167","732","892","405","4214","1070","52826","4259","10725","1892","84879","4806"
"0400000US10","Delaware","441183","6008","393781","7054","359029","7204","34752","3224","29196","3014","3028","970","1559","591","483","314","486","295","12104","1902","8897","1437","0","190","256","277","2889","1092","62","100","0","190","223","225","1653","716","9655","1521","2889","1024","20878","2186"
"0400000US11","District of Columbia","358150","4914","138789","5717","120333","5085","18456","2298","13701","2049","2465","967","1434","730","533","317","323","345","128135","5462","48547","3625","1111","720","77461","4445","976","424","40","68","1804","645","567","343","14718","1816","50165","4468","2443","977","21529","2463"
"0400000US12","Florida","8880102","34688","7870575","36609","7075864","36592","794711","17495","615670","13698","112664","7496","36448","4098","18637","3046","11292","2218","195638","9094","178777","9004","1415","775","8088","1580","7183","1516","175","202","8118","1636","25722","2730","62969","5791","126149","6790","97624","5817","493307","15108"
"0400000US13","Georgia","4555243","21695","4079763","20881","3626672","19600","453091","12985","342647","11408","62962","4625","24967","3280","11347","2047","11168","2218","104957","6737","79150","6069","1058","523","22719","2729","1794","594","236","143","8859","2480","4255","1049","9044","2008","69170","5980","47227","5061","231968","9335"
"0400000US15","Hawaii","704914","7321","570531","6672","475067","7451","95464","5214","72380","4582","14529","2106","5014","1429","2425","940","1116","552","49270","3864","48483","3846","142","225","455","391","39","64","151","169","550","393","4758","1014","6458","1094","29047","2608","11684","1801","32616","3184"
"0400000US16","Idaho","734911","8152","645370","8933","566332","9324","79038","5103","62481","5011","10722","2582","2718","798","1439","639","1678","501","5905","1226","5720","1192","88","144","10","19","0","193","87","144","85","98","2796","970","5996","1359","23518","2778","6004","1255","45237","4045"
"0400000US17","Illinois","6094828","22953","4967687","25193","4485040","27164","482647","13251","378304","11247","63656","4333","20968","2533","11206","1840","8513","1685","566654","12552","226985","7963","2369","812","189023","7048","147852","6465","425","244","12492","1826","5448","988","40329","2599","185404","7998","48380","4083","268434","8524"
