"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US01","Alabama","2007426","13350","1896105","13284","1724178","15545","171927","8594","135747","7189","22188","3155","6827","1459","4646","1519","2519","967","8276","1749","7257","1617","94","172","69","108","130","158","726","684","250","202","3126","1063","3406","1293","22961","2749","16069","2188","57233","3661"
"0400000US02","Alaska","359211","5456","292702","6256","249481","6163","43221","3223","32695","2995","6106","1030","1851","586","1176","534","1393","503","4703","1196","4431","1177","0","145","59","74","0","145","213","146","913","358","843","423","3281","875","28730","2125","14124","1617","13915","1891"
"0400000US04","Arizona","2831592","19395","2473991","20790","2178267","17614","295724","9385","226537","8491","42344","4026","16189","2309","5956","1341","4698","1050","57615","5086","53344","4890","1756","764","638","293","1550","874","327","262","1906","762","13865","1600","30757","3177","56505","4206","35300","4336","161653","6371"
"0400000US05","Arkansas","1249674","12677","1167393","13710","1031366","13889","136027","7210","103591","6737","20496","2749","5785","1299","3244","1013","2911","1014","4072","1177","3759","1112","0","190","197","329","44","58","72","104","375","287","2715","772","2850","977","22173","2425","8721","1366","41375","3177"
"0400000US06","California","17254926","40650","14492352","48320","12679198","45211","1813154","27870","1353734","24439","267271","8669","103326","6779","49030","4345","39793","3302","914442","15685","613181","13119","21969","2594","199080","6694","69450","4451","10762","1701","9871","1478","63126","4122","199799","7924","467779","12033","176582","7676","930975","16361"
"0400000US08","Colorado","2681200","13178","2285885","14475","2027739","15432","258146","10065","194004","8466","37362","3703","15930","2962","8069","2128","2781","865","88355","4521","71874","4086","1384","600","10605","1717","4141","979","351","261","1073","546","5422","1004","35879","3088","71357","4702","18876","2367","174353","6876"
"0400000US09","Connecticut","1765420","11499","1521932","12831","1379348","12794","142584","7540","113179","6715","16086","2139","6473","1815","2910","861","3936","973","84731","4188","43764","3175","52","83","2383","679","38120","2900","412","301","1319","559","1474","585","5742","1042","55459","3966","13169","2308","81594","4474"
"0400000US10","Delaware","434766","5852","387482","6764","354350","7480","33132","3564","26357","3218","4600","1392","522","259","757","436","896","512","12635","2056","9810","1725","0","185","513","367","2312","765","0","185","16","20","74","86","1056","489","9709","1867","4507","1264","19287","2306"
"0400000US11","District of Columbia","343062","5802","139694","6071","120528","5465","19166","2155","14644","1684","3486","928","437","342","599","715","0","198","123707","5492","52670","4328","624","413","69613","3721","800","412","0","198","1861","589","724","448","13330","1709","44965","3413","1769","700","17012","2053"
"0400000US12","Florida","8636223","32707","7669644","34401","6886539","35014","783105","17887","602635","15585","104002","7005","44808","5328","19953","2997","11707","2216","179401","7747","166602","7933","300","218","7751","1645","4407","1052","341","230","7667","2244","27489","2796","64307","5364","124298","5666","97556","6555","465861","12632"
"0400000US13","Georgia","4421064","22975","3966749","21199","3518258","22220","448491","11971","337203","11944","66346","5125","23408","2800","12713","2590","8821","1907","93277","7020","68156","5864","440","378","22035","2924","2336","735","310","243","8615","1638","4378","932","10687","1827","68722","4286","49420","4409","219216","7808"
"0400000US15","Hawaii","685447","7710","547531","8199","454798","8532","92733","4904","69677","4147","14539","2108","5842","1259","2053","748","622","357","49272","3830","48761","3759","0","181","450","461","61","101","0","181","762","536","5702","966","7570","1561","31941","2750","12164","2024","30505","3393"
"0400000US16","Idaho","714398","8872","633619","9887","563872","9532","69747","4986","52446","4469","9489","2103","5034","1454","1678","623","1100","578","5741","1104","5579","1086","17","26","0","190","33","43","112","186","210","239","1857","662","8221","1839","15498","2136","4900","998","44352","4520"
"0400000US17","Illinois","6043111","22829","4920601","23949","4438464","24862","482137","11118","373470","9303","68008","4757","23807","2935","10544","2193","6308","1220","568138","10993","241860","8028","2364","983","180612","6667","142958","4980","344","321","12239","1901","5838","1281","37220","2979","186414","5699","48278","3709","264383","8659"
"0400000US18","Indiana","3031672","15356","2794177","16647","2520928","15769","273249","8293","213464","7947","32915","3020","13077","1797","6597","1429","7196","1877","32567","3263","26780","2927","425","432","1310","705","3557","875","495","246","1301","585","3059","792","13542","1495","60227","4056","24550","2618","102249","3955"
"0400000US19","Iowa","1565334","9879","1399712","10916","1264875","11837","134837","5596","103418","5318","19027","2121","5796","1218","3823","1036","2773","882","16335","2059","16030","2026","0","155","23","37","63","88","219","193","1380","609","2439","553","7651","1325","52660","3547","10710","1491","74447","3958"
"0400000US20","Kansas","1388575","10089","1272544","10816","1140610","12904","131934","6456","99090","5638","17983","2006","8504","1472","4363","871","1994","732","6746","1543","6294","1461","53","87","294","359","0","168","105","124","271","289","3368","698","4640","975","34196","3030","10870","1573","55940","3146"
"0400000US21","Kentucky","1879141","13562","1725212","13308","1538152","13453","187060","8259","146428","6793","25111","3326","7561","1981","5431","1571","2529","740","21516","2154","21440","2147","0","185","76","122","0","185","0","185","985","406","1758","451","4907","1216","45495","3534","18968","2840","60300","4078"
"0400000US22","Louisiana","1987108","13668","1828421","15710","1634035","17722","194386","8333","147705","7961","27299","3072","10989","2415","4220","1616","4173","1118","28810","3121","27742","3135","759","355","206","220","0","201","103","109","1585","801","2870","958","9775","1537","36868","3479","26419","2971","52360","3737"
"0400000US23","Maine","638497","7135","562245","7780","493656","8394","68589","4889","58037","4464","5985","1254","2374","807","787","362","1406","466","5210","871","4042","742","76","93","270","297","193","250","629","240","2701","1226","1076","494","3163","1011","25193","2584","4366","894","34543","2478"
"0400000US24","Maryland","2960073","14341","2461683","15312","2187057","15405","274626","10125","211528","8972","34186","3109","14601","2766","8217","2414","6094","1467","267211","8098","131605","6524","2097","831","112437","4744","20727","2562","345","245","4711","1126","2895","919","10349","1788","69084","4780","21342","2775","122798","5355"
"0400000US25","Massachusetts","3396137","20118","2670446","19954","2418818","20407","251628","8104","199582","7502","29986","2715","11371","1885","5776","1546","4913","1389","332765","9229","116516","6414","8215","1771","150674","6426","54421","3358","2939","830","7701","1881","4117","1233","27666","2410","165363","6626","24551","2435","163528","7042"
"0400000US26","Michigan","4356081","21962","3974621","21735","3585455","21528","389166","10629","309069","9064","47254","3711","17950","2389","8586","1398","6307","1294","66746","4101","65114","4176","300","225","786","387","250","174","296","240","3067","1039","4514","1153","18461","2327","97167","4791","32278","3007","159227","5552"
"0400000US27","Minnesota","2811291","12563","2432179","14684","2184366","14299","247813","8166","192958","7045","29454","2641","10811","1775","9327","2765","5263","1466","102754","4666","95926","4497","634","259","3661","1139","2368","596","165","116","1824","721","5280","966","24927","2468","81889","4537","18416","2145","144022","5360"
"0400000US28","Mississippi","1196527","11156","1127871","11847","1023357","12841","104514","6314","82079","5872","14088","2043","3963","970","2007","738","2377","627","3180","1067","3111","1049","0","206","0","206","69","100","0","206","438","290","1300","640","1284","491","16865","2052","17623","2546","27966","3305"
"0400000US29","Missouri","2769496","15926","2510122","15684","2264508","17539","245614","9709","197705","8010","31393","3755","8776","1645","4722","934","3018","834","43256","4577","38690","4330","251","192","3501","990","568","301","246","210","1958","963","4029","939","7300","1357","57578","4177","23359","2988","121894","5852"
"0400000US30","Montana","488297","5336","415642","6367","364793","7136","50849","3837","38423","3246","7339","1543","2525","745","854","362","1708","723","5243","1654","5059","1613","0","161","151","244","33","57","0","161","0","161","622","295","5713","1457","22471","2237","3731","798","34875","3086"
"0400000US31","Nebraska","967636","7198","883277","7808","791009","8707","92268","4476","67406","3982","15964","1737","5418","980","2643","859","837","365","6375","1323","6003","1249","0","153","248","236","0","153","124","85","684","363","954","377","4341","1108","27652","2322","5247","1067","39106","2415"
"0400000US32","Nevada","1279533","11630","1126002","12222","992409","12264","133593","6254","105006","5034","19246","2478","5544","1353","2855","853","942","372","54406","4712","54249","4733","0","203","0","203","105","172","52","73","585","365","5797","1132","6100","1341","26530","2621","18998","2510","41115","3659"
"0400000US33","New Hampshire","685701","7315","611691","7373","558119","7945","53572","4100","44038","3579","5981","1317","2123","995","1043","652","387","319","5109","1038","4236","947","78","98","204","156","553","433","38","81","170","180","906","550","2095","930","17754","1905","6716","1405","41260","2617"
"0400000US34","New Jersey","4281288","18792","3411040","21126","3071511","19482","339529","10558","256267","9635","43543","4292","16945","2106","12302","2228","10472","2250","470791","9609","262457","7671","3768","1123","83885","4788","110330","4445","10351","1607","10128","1889","2477","712","15227","2393","133018","6860","58589","5437","180018","7732"
"0400000US35","New Mexico","872554","9902","783856","9743","700770","9978","83086","4749","63625","4537","10587","1969","5097","1129","2346","835","1431","739","10934","2065","9054","1897","29","35","45","74","1806","618","0","190","128","199","3716","842","7368","1530","17945","1992","7040","1573","41567","3446"
"0400000US36","New York","9169233","25906","5468807","28070","4869602","27024","599205","13672","463701","11411","71540","4298","33167","3796","17462","2526","13335","2291","2593733","20861","570690","12879","11369","2052","1749033","17896","252892","7291","9749","1772","49125","4467","5809","1004","58198","3956","576752","14583","55641","4497","361168","10446"
"0400000US37","North Carolina","4431005","19374","4034342","20783","3605043","22261","429299","10729","330196","9500","56715","4518","21096","2618","11973","1899","9319","1581","50467","3630","46312","3548","477","302","1985","602","1072","591","621","411","4237","1163","7366","1555","11121","1702","79919","4858","34468","3274","209085","8535"
"0400000US38","North Dakota","388595","5049","348194","4659","315753","4716","32441","2574","23468","2218","4809","939","2967","972","1081","490","116","119","2588","837","2544","821","0","147","0","147","0","147","44","72","305","224","344","196","1112","372","13553","1376","2041","621","20458","1557"
"0400000US39","Ohio","5330410","21237","4871237","22082","4454047","21935","417190","10510","332561","10829","45476","3701","16391","2178","12358","1799","10404","1362","90734","4518","86072","4451","821","346","2544","773","697","319","600","391","3342","955","5127","1077","16864","2012","116550","4904","32634","2835","193922","5919"
"0400000US40","Oklahoma","1723902","9202","1599616","9692","1419280","9514","180336","5406","141096","4814","24841","2587","8137","1338","4411","1278","1851","604","7405","1157","6948","1148","61","99","129","159","98","113","169","122","678","465","2937","656","5064","1167","29971","2612","16304","1783","61927","4350"
