"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US01","Alabama","1951769","16535","1843998","17547","1648706","17854","195292","9369","146540","7311","28665","3452","12580","2656","3817","1469","3690","1386","7964","2010","7689","1953","137","162","54","99","0","273","84","139","539","310","2327","802","2322","699","25853","3049","12984","1698","55782","4508"
"0400000US02","Alaska","343424","5810","275492","6080","230116","5965","45376","4438","36412","3762","4635","1104","1849","729","1307","1159","1173","757","4034","1011","3978","1018","0","246","0","246","0","246","56","55","1393","622","439","270","4542","1244","27069","2322","11650","1780","18805","3141"
"0400000US04","Arizona","2621839","20723","2310451","19560","2005289","19912","305162","11371","245055","9104","33401","4235","13492","2335","7571","2369","5643","1298","46829","4262","43264","4230","1742","786","936","550","887","615","0","305","2011","1484","10553","1813","22303","2693","52391","4528","26412","3685","150889","6705"
"0400000US05","Arkansas","1225968","11423","1143630","11249","1005284","11655","138346","6434","103659","5870","20933","2839","5807","1219","5363","1807","2584","783","6058","1619","5726","1523","54","91","150","291","0","273","128","145","1168","1046","2456","770","746","367","22201","2959","13450","2093","36259","3465"
"0400000US06","California","15921475","45956","13481683","49024","11650145","48881","1831538","25012","1399793","21683","250423","10707","89408","5847","50375","4455","41539","5487","820349","17602","605949","16170","23155","2609","135023","7605","51399","4015","4823","908","5191","984","48413","3907","160016","7185","429786","13246","151732","7943","824305","17515"
"0400000US08","Colorado","2428102","16248","2076260","16013","1832425","17344","243835","10203","191091","8592","30764","3152","11393","1727","6887","2550","3700","987","71917","4654","61823","4110","1029","442","6271","1494","2746","859","48","82","387","276","6005","1177","27563","2714","72320","5488","18518","2758","155132","7501"
"0400000US09","Connecticut","1707618","10144","1496508","12546","1360587","13792","135921","6670","106585","6127","16906","2477","5754","1665","3139","843","3537","1031","76791","5513","49014","5182","364","227","2230","654","24785","2594","398","364","988","538","1120","435","4326","1974","48348","3538","12322","2204","67215","4129"
"0400000US10","Delaware","404044","6800","363044","6715","324776","7163","38268","3154","31090","2804","3931","1261","1458","684","1060","489","729","493","12113","1864","9798","1831","42","73","413","340","1860","637","0","265","79","103","209","189","630","384","9044","1863","4163","1061","14762","1986"
"0400000US11","District of Columbia","296717","5055","120869","4683","103239","4438","17630","2165","12795","1910","3364","864","808","507","343","345","320","301","113648","5057","52991","4234","842","472","58812","4037","1003","587","0","292","1273","566","526","365","9288","2128","34895","3374","1348","654","14870","2071"
"0400000US12","Florida","7865975","28271","7044093","30952","6286833","33757","757260","18804","593047","16371","100978","7251","33733","4960","17557","4215","11945","1962","161012","10861","147791","10638","1529","686","6664","1449","4681","1112","347","468","5957","1435","26139","2741","51006","5622","130004","9757","84933","6204","362831","11267"
"0400000US13","Georgia","4118024","22215","3691307","23604","3267029","22798","424278","14152","317886","12088","61498","5221","18960","3314","17236","3600","8698","1619","93624","7121","72000","6764","1178","729","17247","2422","3077","1120","122","142","4425","1275","7385","1259","8498","2436","60545","5297","53351","5356","198889","8662"
"0400000US15","Hawaii","657295","7523","528225","9589","437687","8611","90538","5487","66806","4705","14324","2452","6502","1617","2210","1046","696","381","43534","4212","43164","4232","0","275","0","275","0","275","370","341","338","323","4152","941","5653","1526","29641","3662","12094","2809","33658","4890"
"0400000US16","Idaho","669892","8472","587334","8940","520863","9021","66471","3893","50246","3995","9236","1493","3305","876","2377","819","1307","629","5410","1206","5337","1191","57","93","0","267","0","267","16","29","480","403","1878","644","8114","1516","21488","2785","4931","1146","40257","3944"
"0400000US17","Illinois","5792659","21042","4775477","24073","4273034","23657","502443","11652","398450","11979","63271","4447","22661","3482","10324","2948","7737","1762","494684","12316","210888","8449","4945","1464","145493","6967","133130","6128","228","225","11170","1691","7564","1357","33427","3113","178901","8180","42229","4455","249207","7603"
"0400000US18","Indiana","2845206","17408","2628310","18097","2385577","17869","242733","7832","188348","7464","30834","3284","11280","1681","7066","1565","5205","1347","27693","2999","22337","2875","532","488","735","447","4089","1012","0","267","1151","547","4548","1095","11568","1963","62196","4216","16114","2118","93626","4782"
"0400000US19","Iowa","1513705","9788","1347621","10303","1200762","9698","146859","6254","115223","6200","19003","2181","6098","1300","3024","928","3511","1057","16649","2474","16474","2392","175","251","0","228","0","228","0","228","1252","724","2807","817","7902","1726","54328","3932","9982","1665","73164","4712"
"0400000US20","Kansas","1358914","9336","1240364","9717","1116031","10471","124333","7026","95915","6242","17898","2161","6185","1194","2668","881","1667","683","7098","1824","6987","1816","0","248","0","248","111","132","0","248","241","186","3314","856","5170","1136","35048","3196","7793","1540","59886","4477"
"0400000US21","Kentucky","1803377","15174","1669195","16139","1482669","16578","186526","8284","147331","7550","23403","2443","9695","2458","4313","1353","1784","775","19654","2766","19133","2743","127","159","264","286","0","271","130","137","1093","524","1779","700","3211","979","31407","2884","11116","1873","65922","4936"
"0400000US22","Louisiana","1932178","14163","1784723","15467","1578167","15029","206556","9173","154554","7822","28808","3222","13290","2376","5337","1368","4567","1334","27806","3374","26590","3327","872","439","0","281","0","281","344","346","2283","879","3413","999","6675","1374","38366","3948","26803","2905","42109","3455"
"0400000US23","Maine","627588","6403","560648","6961","504971","6849","55677","3747","46735","3506","4688","1126","1964","563","372","240","1918","582","3067","875","2443","849","53","86","64","78","91","108","416","254","317","258","1006","447","4179","1177","21874","2033","4151","1164","32346","2471"
"0400000US24","Maryland","2847946","17144","2383842","17804","2079711","18858","304131","11171","234759","9692","40777","4737","16543","3087","6585","1538","5467","1543","245628","9404","116573","6208","2834","1224","107316","5429","18757","2416","148","173","4394","1256","3533","898","5674","1158","64917","4602","17323","2273","122635","5991"
"0400000US25","Massachusetts","3151546","16613","2541432","16372","2294910","16547","246522","9029","198335","7913","27970","3223","9529","2062","5640","1599","5048","985","285330","9451","96060","6139","7975","1796","129242","6512","49742","3551","2311","883","3887","1077","2509","797","19732","2523","147318","6450","17906","2540","133432","5258"
"0400000US26","Michigan","4044769","19421","3718041","19148","3370583","20226","347458","8858","278265","8664","42179","3717","13807","1524","7738","1326","5469","1428","51549","3592","50237","3720","90","107","668","540","62","91","492","397","3077","1127","4357","933","15256","2048","88131","4889","20652","2125","143706","7029"
"0400000US27","Minnesota","2649994","12193","2298361","12496","2072089","12267","226272","7274","179840","6841","27785","2605","9290","1187","5523","1080","3834","1082","92083","5351","87438","5178","739","457","1334","453","2445","886","127","183","1994","679","5916","1029","17271","2057","74469","4406","16098","2455","143802","4672"
"0400000US28","Mississippi","1158617","12860","1090895","13388","974939","14370","115956","6429","87589","5962","15828","2415","6673","1382","2775","930","3091","1291","5079","1266","4924","1265","19","35","28","51","108","184","0","287","193","211","1060","470","878","530","20115","2558","12310","1762","28087","3116"
"0400000US29","Missouri","2706413","14734","2463299","14789","2212453","14756","250846","8652","205562","8308","29145","3075","8701","1167","3854","1008","3584","949","42305","3718","38009","3602","500","374","3379","1016","234","173","183","240","1642","610","4697","1034","7046","1549","55578","3476","19167","2256","112679","6051"
"0400000US30","Montana","459904","5870","392487","6207","347835","6368","44652","3836","34823","3538","6226","1150","2442","796","523","348","638","372","3856","970","3618","887","0","237","238","386","0","237","0","237","61","102","706","442","4943","1057","23813","2474","3926","998","30112","2925"
"0400000US31","Nebraska","921395","7259","840132","7712","749921","8047","90211","4743","69684","4351","11935","1975","5061","1162","2167","760","1364","850","5299","1085","5299","1085","0","228","0","228","0","228","0","228","519","357","1839","828","3782","1044","25432","2470","4631","972","39761","2839"
"0400000US32","Nevada","1184067","11117","1056701","13430","926694","14401","130007","6936","106443","5910","13212","2879","5784","1590","1927","738","2641","1126","38895","4469","38643","4440","0","309","197","196","55","89","0","309","442","245","4430","1044","7344","2644","21115","3140","11362","2292","43778","4398"
"0400000US33","New Hampshire","667506","6655","596075","7540","544574","8302","51501","4548","43852","4299","5167","1020","915","436","951","464","616","345","6098","990","5106","858","0","257","250","250","669","354","73","121","137","159","720","378","1048","613","18809","2968","5439","1209","39180","3507"
"0400000US34","New Jersey","4054388","17515","3273487","22322","2932983","20901","340504","11066","253609","9878","44705","4081","19429","3075","13409","2584","9352","1700","439572","13460","259580","10017","4450","1322","67734","4128","99508","5559","8300","1430","6807","1453","1484","588","15766","2628","118235","6050","53596","4787","145441","5723"
"0400000US35","New Mexico","857959","8659","773887","9206","684583","9375","89304","5697","67002","5120","13716","2250","4731","1082","2720","1058","1135","509","9950","1652","7892","1449","111","191","158","149","1789","705","0","285","141","167","2015","708","5515","1077","18920","2613","5679","1362","41852","3221"
