"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US06","California","16432358","41929","13881374","45609","12059924","50107","1821450","24221","1371216","20806","261260","10410","95532","5835","46171","2737","47271","4339","851099","15586","615524","14258","20579","2474","148159","6747","59693","3878","7144","1272","6341","1283","55549","3721","184125","7871","441486","12725","147222","8354","865162","15704"
"0400000US08","Colorado","2538793","15597","2134981","17489","1889150","18419","245831","9352","186252","8027","33611","3315","15762","2206","6344","1316","3862","974","81980","5100","72455","4593","1368","563","5014","1158","2983","898","160","157","285","178","7601","1274","38324","3236","85695","5233","21713","2281","168214","6844"
"0400000US09","Connecticut","1728325","12264","1500412","13099","1358109","13375","142303","6353","111593","5575","16492","2260","6549","1624","2524","824","5145","1352","82482","5268","44906","4018","677","542","2473","765","34093","2710","333","254","1544","498","1901","746","5757","1322","51475","4279","13214","2283","71540","4258"
"0400000US10","Delaware","421883","5569","377768","6008","343732","6538","34036","2891","27475","2833","3137","870","1668","703","791","411","965","362","10725","1732","8171","1477","0","182","712","549","1766","600","76","122","106","152","553","515","1363","551","9550","1740","3251","864","18567","2031"
"0400000US11","District of Columbia","326143","6312","129484","5677","111088","5103","18396","2250","13645","1765","3076","847","973","523","344","296","358","243","125890","5558","52963","3586","882","625","70781","4521","1264","549","0","197","1552","591","357","260","13493","2422","38795","3712","1443","806","15129","1890"
"0400000US12","Florida","8161313","33163","7268386","34932","6473106","37786","795280","17080","626119","14906","102196","6906","36727","3267","17358","3436","12880","2496","177143","9552","163384","9001","679","559","6783","1247","6155","1663","142","188","5901","1418","31169","3086","56888","4307","127838","7423","89701","6079","404287","11109"
"0400000US13","Georgia","4213128","24999","3793121","24724","3353644","22638","439477","13300","321134","11483","68720","5517","24860","3833","12557","2427","12206","2271","82974","5095","63124","4367","917","499","16630","2394","2236","796","67","109","8655","1902","7950","1728","8276","1641","71148","4804","39534","4076","201470","6626"
"0400000US15","Hawaii","670355","7481","539696","8585","437154","8837","102542","5152","76220","4769","16740","1985","5738","1450","2212","821","1632","593","45177","3416","44580","3483","76","127","349","338","0","177","172","136","468","402","5785","1283","7897","1444","31804","2894","10052","1685","29476","2735"
"0400000US16","Idaho","697765","7911","612936","9214","542709","9910","70227","5655","52285","4762","9628","2005","5270","1493","2229","746","815","404","5925","1058","5828","1039","97","152","0","187","0","187","0","187","633","512","2888","1007","7179","1257","20109","2007","7078","1658","41017","3189"
"0400000US17","Illinois","5927604","21876","4888690","23284","4362024","21463","526666","12110","411426","10449","70155","4574","23024","2609","12916","2207","9145","1361","506351","11780","218610","6961","3322","1045","154336","7778","129849","5785","234","172","8778","1963","7943","1204","41098","3236","186595","7673","44107","3780","244042","7533"
"0400000US18","Indiana","2954205","15974","2711477","17152","2435019","16983","276458","7666","216390","6888","32923","3344","11470","1660","9013","2386","6662","1369","33311","3171","26779","2898","53","87","1383","724","4922","1001","174","213","2000","1079","6563","1367","16021","1847","64333","4076","22186","2524","98314","4293"
"0400000US19","Iowa","1530289","8390","1361061","9420","1222653","10410","138408","6075","108825","5523","17462","2105","4972","984","4320","1070","2829","688","16630","2061","16356","2028","125","201","73","76","76","123","0","151","936","548","4283","1042","7803","1225","55697","3185","11950","1745","71929","3466"
"0400000US20","Kansas","1388601","9358","1276049","10031","1140807","9069","135242","5829","103962","5234","19359","2669","6046","1173","3020","908","2855","885","7884","1601","7570","1609","66","110","49","61","25","37","174","227","658","354","3730","763","3839","898","30985","2700","9130","1340","56326","3561"
"0400000US21","Kentucky","1845659","13246","1706979","13209","1526467","11999","180512","6917","143001","6019","22238","2445","8873","1984","4622","1849","1778","622","18673","2208","18286","2188","367","319","0","181","0","181","20","24","1093","594","2636","725","4260","1182","42463","3052","12958","1803","56597","3857"
"0400000US22","Louisiana","1965689","11987","1816510","13029","1622316","11994","194194","8483","147467","7960","28213","3163","8969","1749","6037","1358","3508","903","24516","2500","22522","2391","1413","628","40","50","125","124","416","263","2437","1032","3961","926","8506","1249","36437","2697","26377","2676","46945","3586"
"0400000US23","Maine","631826","7271","555649","7447","485919","7425","69730","3454","57965","3305","7353","1248","2226","717","571","348","1615","657","3597","896","3149","889","22","46","33","54","79","94","314","254","1160","617","1654","787","2774","733","27462","2145","6302","1285","33228","2512"
"0400000US24","Maryland","2909794","13064","2421738","14120","2135379","14985","286359","10378","222066","9572","38185","3694","13463","2256","5522","1506","7123","1362","258280","8366","130773","6198","1183","605","107133","4924","19072","2069","119","192","4096","1093","3133","930","10853","1743","71970","3925","17842","2571","121882","4809"
"0400000US25","Massachusetts","3273690","17356","2610584","18345","2354944","19671","255640","8615","204873","7725","29313","3571","8981","1909","5571","1305","6902","1456","309147","8211","114307","6280","7493","1409","132098","5852","53010","4013","2239","693","6128","1495","3260","898","26339","2681","161358","6390","19827","2542","137047","5918"
"0400000US26","Michigan","4190898","18028","3836461","17618","3459252","17360","377209","9962","295260","8851","49062","3623","16580","2189","10041","1428","6266","1207","54893","3049","52922","2921","842","579","825","391","128","101","176","125","2183","642","5213","862","21289","2014","91536","4420","25386","2483","153937","5004"
"0400000US27","Minnesota","2737424","12945","2380936","13230","2135967","13145","244969","8494","192865","7421","29955","2664","11691","1478","5749","1263","4709","904","89609","5009","84337","4849","973","461","1703","493","2526","599","70","85","1609","739","5222","976","22273","2494","76853","3626","14694","1507","146228","5027"
"0400000US28","Mississippi","1178427","11475","1110070","12040","984238","13196","125832","6507","92929","5981","19116","2559","7566","1423","2273","747","3948","1020","5266","1060","5066","1059","41","71","88","106","0","198","71","117","736","501","2373","857","1519","691","20079","2202","10153","1825","28231","2626"
"0400000US29","Missouri","2734275","14847","2488992","16671","2223496","16471","265496","8184","208483","7187","36843","3596","11450","1790","4520","1008","4200","906","35244","2643","31023","2513","383","363","3136","806","689","484","13","24","1651","791","5745","1206","7163","1565","52783","2866","22458","2726","120239","5316"
"0400000US30","Montana","475299","5526","404546","5978","353661","6654","50885","3716","41138","3506","5763","971","2199","761","1361","502","424","246","4520","1172","4448","1156","16","30","37","80","19","33","0","157","4","7","853","436","7538","1460","22947","2436","3824","853","31067","2361"
"0400000US31","Nebraska","946684","6595","854226","6253","759340","7419","94886","4253","73204","4164","12933","1689","5031","1052","1833","576","1885","1005","6142","1494","6142","1494","0","149","0","149","0","149","0","149","234","186","1827","531","6200","1235","26578","1805","5276","952","46201","2718"
"0400000US32","Nevada","1216345","9798","1081479","9817","949121","9397","132358","5916","107451","5587","14324","2136","6151","1386","2349","883","2083","737","44047","3386","43228","3421","114","188","289","394","326","302","90","147","594","426","5312","1155","4973","1021","27904","2842","14472","2137","37564","3975"
"0400000US33","New Hampshire","677232","6684","603797","7454","554808","8274","48989","3838","40430","3225","4706","1122","2558","1041","628","356","667","366","4522","861","3774","727","0","181","51","75","697","448","0","181","62","123","1276","399","1850","787","21007","2038","5233","1114","39485","3256"
"0400000US34","New Jersey","4113910","18968","3303613","22550","2962771","22382","340842","10825","261091","9780","43857","3956","17760","2218","9850","1593","8284","1632","435665","11064","247161","9010","4382","1129","77281","5061","99938","5261","6903","1379","9615","1905","2068","491","16181","2646","125193","5842","52930","4759","168645","6305"
"0400000US35","New Mexico","865474","10171","780936","9836","682940","10511","97996","5484","70078","4878","15988","2455","5036","1224","3876","1320","3018","725","9839","1954","8320","1792","23","44","66","85","1430","555","0","185","210","286","2482","705","4516","1010","19615","2166","8582","1575","39294","3079"
"0400000US36","New York","8916499","27186","5397550","28299","4785225","28852","612325","13047","476837","13721","75883","5184","30315","3203","16672","2306","12618","2025","2429897","20382","546847","12410","11914","2130","1619413","18731","241819","8062","9904","1535","55652","4971","7554","1239","53119","4185","568540","14225","54654","4314","349533","8358"
"0400000US37","North Carolina","4263889","22148","3884146","22831","3434930","23683","449216","9843","339481","9630","63447","4728","23184","2649","12696","1956","10408","1652","48895","3694","45322","3535","1088","606","1473","562","692","352","320","288","3235","1165","8980","1787","12152","1836","82256","4535","32856","3281","191369","7966"
"0400000US38","North Dakota","376246","4051","335799","4463","299123","4905","36676","2928","26199","2620","5722","984","2268","1018","1622","998","865","505","1430","439","1430","439","0","141","0","141","0","141","0","141","88","90","258","156","1342","522","14373","1815","1974","573","20982","1741"
"0400000US39","Ohio","5183203","19932","4738410","21492","4316260","22387","422150","11650","338261","10298","47214","4316","17838","2236","10183","1553","8654","1833","80916","4180","76753","4033","890","390","2104","626","646","242","523","491","3547","943","8320","1343","15813","1796","123591","5627","33980","2910","178626","7286"
"0400000US40","Oklahoma","1682277","9700","1558962","9196","1384248","10120","174714","6183","138592","5417","21022","1583","9784","1760","2685","693","2631","636","7298","1131","6942","1104","191","197","0","149","53","79","112","103","442","236","4396","972","3829","720","34486","2675","16992","1880","55872","2764"
"0400000US41","Oregon","1700679","12171","1388786","14684","1211498","13724","177288","7441","140223","6562","24194","2717","6915","1398","3734","1313","2222","1068","70405","4798","54174","4300","7365","1683","5498","1209","3313","982","55","89","617","480","4663","1342","41960","3158","77731","6505","11829","1657","104688","4946"
"0400000US42","Pennsylvania","5810858","19883","4967749","23436","4448025","23720","519724","13636","413077","12313","61144","4445","22288","2264","13290","1919","9925","1439","314681","9457","218801","8294","7378","1325","38368","3192","49655","3639","479","224","5272","1654","9237","1528","28114","2909","223141","7711","35961","2568","226703","6524"
"0400000US44","Rhode Island","503788","7580","442084","7203","397042","6751","45042","4230","35261","3593","5590","1475","2317","1210","1185","652","689","436","15401","2619","13056","2348","0","200","352","283","1993","675","0","200","116","143","533","254","2182","821","18339","1755","6968","1853","18165","2160"
"0400000US45","South Carolina","1999706","15224","1843730","15580","1657435","17155","186295","8893","145223","8137","24106","2598","8404","1679","3604","1259","4958","2065","10356","1852","9974","1828","34","59","288","371","0","197","60","105","2410","848","5022","1373","7470","1565","43028","2866","19480","2533","68210","4616"
"0400000US46","South Dakota","421018","5664","370031","5211","331520","5337","38511","2804","27618","2408","5046","928","2678","838","2166","804","1003","488","2033","712","1939","709","0","147","0","147","94","116","0","147","435","235","1018","340","3456","1159","16612","1580","3143","769","24290","1628"
"0400000US47","Tennessee","2777627","15261","2584364","15823","2322135","17652","262229","8583","205492","7617","36029","3327","12317","2320","4737","1199","3654","974","20847","2205","19430","2003","348","329","100","137","886","421","83","87","1662","868","4085","982","4146","1112","36184","3105","24721","3190","101618","5144"
"0400000US48","Texas","11608001","31148","10573189","31219","9292439","32347","1280750","20942","967331","17807","181690","8520","78478","6818","33332","3939","19919","2678","189285","8723","169962","8301","2638","881","5991","1047","10363","1694","331","298","4133","1001","28776","2795","31926","3146","187514","8710","137524","7827","455654","11353"
"0400000US49","Utah","1296763","8455","1139668","9724","981257","8637","158411","7008","116269","5604","22907","2400","8939","1534","5668","1762","4628","1030","32473","3324","23330","2536","3712","1357","2202","694","3229","784","0","181","162","180","5916","1467","12774","1680","33288","3029","10669","1693","61813","3734"
"0400000US50","Vermont","318829","4556","266930","4493","234408","4634","32522","2488","26917","2339","3565","795","1078","400","483","291","479","310","3781","804","3572","769","0","143","194","178","15","25","0","143","130","188","327","171","3121","967","19430","1841","1917","483","23193","1919"
